,Correlation
nd,1.0
england_wales_demand,0.9988927334145712
hour,0.3848247888429815
settlement_period,0.38447062014996375
tsd,0.1867809781796347
greenlink_flow,0.14273298569039297
non_bm_stor,0.10626623341439488
day,-0.023312071351372997
east_west_flow,-0.058058550602695255
viking_flow,-0.07213407462177404
week,-0.09217502318663198
month,-0.09331464898677441
ifa_flow,-0.09524633428271259
quarter,-0.09540628358897245
britned_flow,-0.10336974798317716
ifa2_flow,-0.12278943084729146
moyle_flow,-0.12578374902804776
eleclink_flow,-0.15154154379777313
nemo_flow,-0.16349458391866958
dayofweek,-0.18537532617110325
scottish_transfer,-0.19831236239452674
is_weekend,-0.23074713014245235
nsl_flow,-0.23598635998508175
embedded_solar_generation,-0.24830456705248558
embedded_wind_generation,-0.34171486683013513
pump_storage_pumping,-0.4290218485601066
year,-0.532230124618177
embedded_solar_capacity,-0.5360917178184702
embedded_wind_capacity,-0.5380254162203487
